"","ID","V1_SitioZona","V2_TiempoConoce_meses","V3_Recomienda","V4_Atencion_cat","V5_Atencion_1a4","V6_VisitasSemana","V7_PrecioAlmuerzo","V8_CompanerosAlmuerzo","V9_Edad","V11_Ingresos","V12_Gastos","V13_PesoKg","V14_EstaturaCm","V15_Sexo"
"37",37,"Zona Centro",18,"Sí","Excelente",4,3,20753,0,46,5743127,3683200,74.4,174.1,"Masculino"
"38",38,"Zona Sur",13,"No","Buena",3,5,17922,2,55,1500000,1162470,71,168.4,"Masculino"
"39",39,"Zona Sur",14,"No","Regular",2,5,18192,2,30,2842981,2107862,73,158.3,"Femenino"
"40",40,"Zona Centro",18,"Sí","Regular",2,3,23710,3,45,1689195,991267,76.1,170.6,"Masculino"
"41",41,"Zona Sur",95,"Sí","Excelente",4,3,14250,3,50,3339274,1745969,75.5,154.1,"Femenino"
"42",42,"Zona Centro",30,"Sí","Regular",2,2,25965,1,42,3035043,2140902,76,175,"Masculino"
"43",43,"Zona Sur",18,"No","Mala",1,1,16831,0,56,2564843,1136525,57,177.9,"Masculino"
"44",44,"Zona Sur",10,"Sí","Buena",3,2,13774,5,26,2152235,1619940,86.9,175,"Masculino"
"45",45,"Zona Centro",5,"No","Excelente",4,0,18760,1,29,2442660,1027180,62.1,177.2,"Masculino"
"46",46,"Zona Sur",9,"Sí","Buena",3,3,14304,0,23,1500000,938035,74.8,169.3,"Masculino"
"47",47,"Zona Norte",22,"No","Buena",3,3,26136,2,25,3454113,2086835,45,156.7,"Femenino"
"48",48,"Zona Centro",22,"No","Buena",3,3,22308,0,28,2725772,1781540,59,164.7,"Femenino"
"49",49,"Zona Norte",46,"No","Excelente",4,1,25931,0,40,7667940,5186976,52,157.4,"Femenino"
"50",50,"Zona Centro",49,"No","Mala",1,2,23751,1,31,2652406,1733141,74.1,177.9,"Masculino"
"51",51,"Zona Centro",15,"Sí","Buena",3,2,18491,1,46,1662624,1224728,73.6,168.1,"Masculino"
"52",52,"Zona Sur",11,"No","Buena",3,5,16300,1,60,3093201,1742579,73,158,"Femenino"
"53",53,"Zona Norte",34,"No","Excelente",4,3,30314,2,23,7423081,5864255,70.8,155.8,"Femenino"
"54",54,"Zona Centro",20,"No","Mala",1,2,23947,3,28,3353999,1854305,70.1,173.2,"Masculino"
"55",55,"Zona Norte",42,"Sí","Regular",2,0,27408,2,34,10316983,7139249,65.3,172.2,"Masculino"
"56",56,"Zona Sur",6,"Sí","Excelente",4,5,16716,4,63,1637245,900090,69.1,165.6,"Femenino"
"57",57,"Zona Sur",15,"Sí","Excelente",4,1,16500,5,32,2404361,1369606,73.5,177.1,"Masculino"
"58",58,"Zona Norte",32,"Sí","Buena",3,0,25786,0,48,5895772,3401032,63.9,150,"Femenino"
"59",59,"Zona Sur",8,"No","Buena",3,9,19939,3,41,1500000,845289,77.2,168.8,"Masculino"
"60",60,"Zona Centro",22,"Sí","Buena",3,4,19126,2,28,3375962,1889684,64.6,173.7,"Masculino"
"61",61,"Zona Norte",51,"Sí","Excelente",4,1,29162,1,26,3612263,2907564,57.2,157.6,"Femenino"
"62",62,"Zona Centro",27,"Sí","Regular",2,5,15925,5,52,8325970,3236900,72.1,161.3,"Femenino"
"63",63,"Zona Centro",16,"Sí","Mala",1,4,25402,1,34,2367621,1420418,86.3,179.6,"Masculino"
"64",64,"Zona Sur",10,"Sí","Mala",1,3,14751,3,28,1500000,801074,75.5,180.3,"Masculino"
"65",65,"Zona Centro",18,"Sí","Excelente",4,3,17549,1,35,4408906,2672199,74.5,160.6,"Femenino"
"66",66,"Zona Sur",16,"Sí","Regular",2,3,15469,1,38,2701336,1372276,66.8,164.2,"Masculino"
"67",67,"Zona Sur",15,"No","Mala",1,5,16368,2,32,1557499,1233795,78.6,170.7,"Masculino"
"68",68,"Zona Norte",23,"Sí","Buena",3,0,28259,4,32,5907179,4707163,67,158.2,"Femenino"
"69",69,"Zona Centro",13,"Sí","Excelente",4,4,21318,3,43,5232000,3794059,79.8,171.2,"Masculino"
"70",70,"Zona Centro",19,"No","Buena",3,2,22237,1,41,1500000,793076,78.5,155.7,"Femenino"
"71",71,"Zona Centro",21,"No","Mala",1,3,24849,3,37,2287148,1779759,72.6,166.2,"Masculino"
"72",72,"Zona Centro",86,"No","Buena",3,2,26350,3,41,5799709,2227459,77.9,171.2,"Masculino"
"73",73,"Zona Centro",5,"No","Regular",2,3,16573,4,57,4159393,2735383,70.7,155.5,"Femenino"
"74",74,"Zona Centro",15,"Sí","Mala",1,3,19873,2,28,1515601,1098029,64,161.8,"Femenino"
"75",75,"Zona Sur",43,"No","Regular",2,2,17874,1,55,3000125,1323191,65.9,160.2,"Masculino"
"76",76,"Zona Centro",15,"Sí","Buena",3,3,19923,1,18,3014785,1883949,77.6,160.9,"Femenino"
"77",77,"Zona Norte",75,"Sí","Buena",3,1,31764,0,29,4322951,3023056,51.8,166.7,"Masculino"
"78",78,"Zona Sur",21,"No","Regular",2,3,18670,4,30,2576242,2041107,75.3,180.8,"Masculino"
"79",79,"Zona Norte",39,"No","Regular",2,3,29227,1,32,2437504,1919201,81.5,168.9,"Masculino"
"80",80,"Zona Norte",39,"Sí","Buena",3,1,27749,0,29,5771751,4038645,53.6,158.4,"Femenino"
"81",81,"Zona Sur",72,"No","Buena",3,8,18823,1,44,3588416,1762448,64.5,165.6,"Masculino"
"82",82,"Zona Norte",26,"Sí","Regular",2,1,29546,2,30,11562100,8627634,70.5,164,"Masculino"
"83",83,"Zona Norte",14,"No","Mala",1,2,28787,0,42,3031931,2003948,63.5,173.3,"Masculino"
"84",84,"Zona Centro",22,"No","Mala",1,6,25278,2,60,6628031,3164122,57.4,177.3,"Masculino"
"85",85,"Zona Norte",31,"Sí","Regular",2,1,29203,2,36,1788857,1223140,78.8,173.1,"Masculino"
"86",86,"Zona Centro",19,"Sí","Buena",3,3,19031,3,26,2299020,1116684,60.4,174.1,"Masculino"
"87",87,"Zona Norte",7,"Sí","Buena",3,4,25912,0,51,2024947,1059653,73,160,"Femenino"
"88",88,"Zona Norte",23,"No","Regular",2,1,29698,0,27,5439340,2548090,64.1,164.5,"Femenino"
"89",89,"Zona Norte",57,"Sí","Regular",2,2,27752,0,49,6405375,3974960,62.8,171.4,"Masculino"
"90",90,"Zona Norte",19,"Sí","Buena",3,3,28003,2,41,5231288,3639342,62.8,184,"Masculino"
"91",91,"Zona Norte",33,"Sí","Excelente",4,1,26783,1,43,4533789,1465993,63.9,172.6,"Masculino"
"92",92,"Zona Norte",103,"Sí","Mala",1,1,30334,1,23,2436338,1418613,73.8,172,"Masculino"
"93",93,"Zona Centro",6,"Sí","Regular",2,1,21522,2,46,3384149,1075634,59,153.2,"Femenino"
"94",94,"Zona Centro",18,"No","Regular",2,6,23338,0,39,1500000,753580,70.7,162.2,"Femenino"
"95",95,"Zona Centro",19,"No","Regular",2,3,21968,3,35,4242938,1147969,63.5,163.6,"Femenino"
"96",96,"Zona Norte",66,"Sí","Buena",3,2,26592,2,26,6407801,3143221,70.3,161.3,"Femenino"
"97",97,"Zona Norte",14,"No","Regular",2,1,28053,1,33,5376281,2806901,72.5,159.5,"Femenino"
"98",98,"Zona Centro",14,"Sí","Regular",2,3,21783,2,44,3316203,1236800,63.9,169.2,"Masculino"
"99",99,"Zona Norte",21,"No","Regular",2,1,27852,0,35,7142175,5028434,48.8,173.8,"Femenino"
"100",100,"Zona Centro",34,"Sí","Excelente",4,4,23112,1,30,6405588,3358657,58.7,175.8,"Masculino"
"101",101,"Zona Centro",57,"Sí","Excelente",4,6,19035,2,32,1500000,883264,72.1,169.6,"Masculino"
"102",102,"Zona Norte",21,"No","Excelente",4,2,26122,4,53,13762004,6661664,60.7,153.3,"Femenino"
"103",103,"Zona Sur",46,"No","Regular",2,3,17318,3,30,1822614,1089059,53.4,165.9,"Masculino"
"104",104,"Zona Norte",14,"No","Regular",2,1,28050,2,48,2099188,1011412,74.6,158.6,"Femenino"
"105",105,"Zona Norte",11,"No","Buena",3,1,27132,5,34,7524300,4790226,63.3,162.5,"Femenino"
"106",106,"Zona Sur",18,"Sí","Buena",3,0,15698,1,49,1500000,705582,88.2,182.4,"Masculino"
"107",107,"Zona Sur",27,"No","Regular",2,6,18568,3,53,1500000,583235,68,171.8,"Masculino"
"108",108,"Zona Norte",38,"Sí","Buena",3,2,25460,2,27,4036411,2320376,70.9,151.3,"Femenino"
"109",109,"Zona Norte",26,"No","Buena",3,3,25381,1,36,2290102,962069,70.1,166.2,"Masculino"
"110",110,"Zona Centro",15,"Sí","Excelente",4,1,24234,4,44,3747475,2412539,60,155.7,"Femenino"
"111",111,"Zona Centro",90,"Sí","Buena",3,4,18652,0,27,2653913,1912049,73.5,157.9,"Masculino"
"112",112,"Zona Sur",43,"No","Regular",2,4,19101,5,32,1545468,1128845,84.9,174.7,"Masculino"
"113",113,"Zona Centro",7,"No","Buena",3,1,23583,2,39,5561913,2711757,52.1,178.5,"Femenino"
"114",114,"Zona Norte",12,"Sí","Buena",3,1,28866,0,50,3144705,1865234,77.4,162.9,"Masculino"
"115",115,"Zona Centro",49,"No","Mala",1,3,22506,3,28,4076999,2369573,56,174.7,"Masculino"
"116",116,"Zona Centro",7,"No","Buena",3,3,22132,2,27,5283241,3247737,66.3,156.9,"Femenino"
"117",117,"Zona Centro",45,"No","Mala",1,4,24052,4,32,3018386,1635924,76.9,160.1,"Femenino"
"118",118,"Zona Norte",102,"Sí","Buena",3,4,30394,4,51,1558535,1161617,65,159,"Femenino"
"119",119,"Zona Sur",20,"No","Buena",3,3,13007,5,41,2354812,1474850,76.3,185.1,"Masculino"
"120",120,"Zona Norte",61,"No","Buena",3,5,28024,1,37,2257680,1439950,64.9,156.2,"Femenino"
"121",121,"Zona Norte",18,"No","Buena",3,4,26430,2,44,4128970,2423587,70.2,150,"Femenino"
"122",122,"Zona Centro",12,"Sí","Buena",3,3,24410,1,29,4565508,2397733,85.4,178.8,"Masculino"
"123",123,"Zona Centro",9,"No","Regular",2,1,21807,3,36,3046003,1744797,80.6,170.1,"Masculino"
"124",124,"Zona Norte",7,"Sí","Excelente",4,1,27750,0,36,4542046,2431848,81.2,168.9,"Masculino"
"125",125,"Zona Centro",27,"Sí","Mala",1,2,18481,1,42,2619681,1520888,53.1,179.1,"Masculino"
"126",126,"Zona Centro",65,"No","Mala",1,2,21245,3,27,4936060,4446168,61.2,169,"Masculino"
"127",127,"Zona Centro",49,"No","Buena",3,5,25672,3,24,4141824,2939119,79.6,171.7,"Femenino"
"128",128,"Zona Centro",25,"No","Buena",3,3,23799,1,20,2220196,1484362,65.3,161.1,"Femenino"
"129",129,"Zona Norte",16,"No","Mala",1,3,26258,0,57,6577933,3231724,64.8,156.6,"Femenino"
"130",130,"Zona Sur",47,"Sí","Mala",1,2,18610,2,29,4858274,2405528,84,162.1,"Femenino"
"131",131,"Zona Centro",28,"Sí","Mala",1,2,21617,3,47,3345608,1741580,67.8,170.1,"Masculino"
"132",132,"Zona Centro",8,"No","Buena",3,7,23718,1,38,2746790,1125738,49.9,177,"Masculino"
"133",133,"Zona Norte",4,"Sí","Buena",3,3,29477,1,25,8046148,4069785,60.6,159.4,"Femenino"
"134",134,"Zona Centro",55,"No","Mala",1,0,26478,1,18,1511904,942478,61,166.2,"Femenino"
"135",135,"Zona Centro",9,"Sí","Buena",3,2,21529,2,29,5424164,4254929,63.3,161.2,"Femenino"
"136",136,"Zona Sur",63,"Sí","Buena",3,5,16824,2,24,2150095,1431169,70.5,150.4,"Femenino"
"137",137,"Zona Norte",31,"No","Buena",3,2,26817,4,28,3842974,3091679,67.3,165.8,"Femenino"
"138",138,"Zona Centro",15,"Sí","Excelente",4,2,20975,2,47,1500000,763689,66.5,176.5,"Masculino"
"139",139,"Zona Centro",9,"Sí","Buena",3,3,23015,2,31,2230548,1316295,80.4,178.8,"Masculino"
"140",140,"Zona Sur",21,"No","Mala",1,3,15772,0,37,4638698,1765678,60,167,"Masculino"
"141",141,"Zona Centro",36,"No","Regular",2,4,19752,2,33,6102841,2551362,75.7,161.9,"Femenino"
"142",142,"Zona Norte",18,"Sí","Buena",3,1,29945,0,51,6368774,3017708,50.4,161,"Femenino"
"143",143,"Zona Norte",44,"Sí","Mala",1,2,31013,0,36,5412024,2642406,78.8,169.2,"Femenino"
"144",144,"Zona Norte",33,"No","Buena",3,0,30111,2,49,6453426,4249392,77.1,151.3,"Femenino"
"145",145,"Zona Centro",21,"No","Buena",3,3,26377,2,38,4070330,2243810,63.5,172.9,"Masculino"
"146",146,"Zona Norte",30,"Sí","Mala",1,4,28422,0,57,1522868,979806,72.9,158.7,"Femenino"
"147",147,"Zona Centro",81,"Sí","Mala",1,4,26380,0,31,5083313,4985939,65.4,154.2,"Femenino"
"148",148,"Zona Centro",12,"No","Mala",1,3,22147,2,37,1500000,996256,74.7,178.8,"Masculino"
"149",149,"Zona Sur",16,"Sí","Excelente",4,6,12998,2,28,3177601,2023104,69,154.1,"Femenino"
"150",150,"Zona Norte",33,"No","Regular",2,2,28777,1,23,4020324,2510649,66.4,163.1,"Femenino"
"151",151,"Zona Centro",46,"No","Regular",2,2,20876,1,43,1500000,1268117,54.1,178.1,"Masculino"
"152",152,"Zona Centro",11,"Sí","Buena",3,0,23148,2,20,2463076,1427198,68.9,162.2,"Femenino"
"153",153,"Zona Norte",31,"No","Regular",2,3,27405,2,28,6360836,4441163,70.9,165.1,"Masculino"
"154",154,"Zona Norte",36,"Sí","Excelente",4,3,26267,2,43,3257835,1336696,68.1,165.4,"Masculino"
"155",155,"Zona Sur",23,"No","Buena",3,4,16842,1,25,2204082,1065825,72.6,179.6,"Masculino"
"156",156,"Zona Norte",30,"No","Mala",1,2,29133,1,47,8439849,4489216,73.4,150,"Femenino"
"157",157,"Zona Norte",24,"No","Excelente",4,4,30296,1,43,14099336,6602235,60.6,175.5,"Femenino"
"158",158,"Zona Sur",23,"No","Excelente",4,4,15930,0,28,1500000,663860,74.1,184.4,"Masculino"
"159",159,"Zona Sur",38,"No","Regular",2,4,17470,3,28,8021801,4211412,68.1,164.5,"Masculino"
"160",160,"Zona Centro",12,"No","Regular",2,2,20164,1,49,7363188,3610354,78.4,167.5,"Femenino"
"161",161,"Zona Centro",27,"No","Buena",3,6,20428,3,32,2514142,1843634,78.7,172.3,"Masculino"
"162",162,"Zona Centro",10,"No","Mala",1,2,22032,2,36,4254627,2152984,68.9,159.3,"Femenino"
"163",163,"Zona Centro",49,"No","Mala",1,3,22462,1,37,2369650,1307606,82.8,162.2,"Femenino"
"164",164,"Zona Sur",42,"Sí","Regular",2,5,15526,0,36,3084960,1537670,71.9,177.8,"Masculino"
"165",165,"Zona Centro",24,"No","Mala",1,3,25766,0,47,3584627,2879605,70.6,167.4,"Masculino"
"166",166,"Zona Centro",16,"No","Excelente",4,2,20422,3,30,3733879,2916881,82.3,174.1,"Masculino"
"167",167,"Zona Centro",17,"No","Excelente",4,4,21261,3,31,1500000,1273623,67.7,177.8,"Masculino"
"168",168,"Zona Sur",30,"No","Excelente",4,0,20305,4,66,2515616,1601024,56.1,164.8,"Masculino"
"169",169,"Zona Norte",21,"No","Regular",2,2,23976,3,53,4681604,2807521,76.9,163.9,"Femenino"
"170",170,"Zona Centro",43,"Sí","Excelente",4,5,22786,3,49,3273065,1831432,87.8,176.7,"Masculino"
"171",171,"Zona Centro",11,"No","Excelente",4,3,20941,1,35,2842136,1553332,72.9,156.8,"Femenino"
"172",172,"Zona Norte",38,"Sí","Excelente",4,3,26836,2,27,4554372,2909752,51.2,157,"Femenino"
"173",173,"Zona Centro",18,"Sí","Regular",2,5,21291,4,36,4022214,2880732,57.8,169.2,"Masculino"
"174",174,"Zona Centro",35,"Sí","Excelente",4,4,16529,1,57,3566671,2430341,66.9,167.9,"Femenino"
"175",175,"Zona Centro",30,"Sí","Excelente",4,2,18357,3,45,2199158,1250905,61.1,181.2,"Masculino"
"176",176,"Zona Sur",7,"Sí","Buena",3,5,15900,4,26,1666684,858241,53.3,159.8,"Masculino"
"177",177,"Zona Norte",30,"No","Excelente",4,2,28181,3,32,3779504,3055657,67.1,152.3,"Femenino"
"178",178,"Zona Centro",16,"Sí","Regular",2,0,20693,0,44,1500000,784499,66.2,172.6,"Masculino"
"179",179,"Zona Centro",11,"No","Regular",2,5,21780,3,37,3223650,1490508,74,176,"Masculino"
"180",180,"Zona Sur",85,"No","Regular",2,4,14591,2,38,10896198,8922125,76.1,164.9,"Masculino"
"181",181,"Zona Centro",35,"No","Regular",2,4,19412,2,29,3648556,2250862,73,163.8,"Masculino"
"182",182,"Zona Centro",35,"No","Excelente",4,1,17729,4,31,3962398,3772262,54.6,161.3,"Femenino"
"183",183,"Zona Centro",28,"No","Buena",3,5,19080,1,51,3552307,1120869,70.2,174.7,"Masculino"
"184",184,"Zona Norte",49,"Sí","Regular",2,2,27601,0,27,5435158,3110033,75.6,172.2,"Masculino"
"185",185,"Zona Centro",12,"Sí","Regular",2,2,25539,1,49,4920935,3660472,69.5,153.8,"Femenino"
"186",186,"Zona Centro",11,"No","Buena",3,4,21994,1,38,7179614,5511465,60,159.3,"Femenino"
"187",187,"Zona Sur",14,"No","Regular",2,5,15462,3,36,1749083,1069273,74.8,174.4,"Masculino"
"188",188,"Zona Sur",58,"No","Regular",2,6,20131,3,34,1500000,1063959,69.9,154,"Femenino"
"189",189,"Zona Sur",31,"No","Buena",3,4,18927,0,29,1742859,1052797,61,150,"Femenino"
"190",190,"Zona Norte",18,"No","Mala",1,0,29987,0,40,1500000,615581,84.1,172.3,"Masculino"
"191",191,"Zona Norte",15,"No","Excelente",4,3,25756,1,57,8460625,4182407,70.2,159.8,"Femenino"
"192",192,"Zona Sur",35,"No","Regular",2,3,18233,3,38,4175491,2408920,59.7,159,"Femenino"
"193",193,"Zona Centro",35,"Sí","Regular",2,1,22414,2,25,5888200,3028381,70.1,164.6,"Masculino"
"194",194,"Zona Norte",80,"Sí","Excelente",4,1,31468,2,26,10779111,5846725,67.6,173.8,"Masculino"
"195",195,"Zona Centro",54,"Sí","Mala",1,2,18794,2,27,3209037,2026191,59,179.7,"Masculino"
"196",196,"Zona Norte",8,"Sí","Buena",3,1,27451,0,33,5265505,3238909,59.6,180.5,"Femenino"
"197",197,"Zona Centro",35,"No","Buena",3,4,22397,2,36,1500000,821431,45,166.3,"Femenino"
"198",198,"Zona Sur",70,"No","Mala",1,2,19681,3,33,3021309,1671095,83.3,159.5,"Femenino"
"199",199,"Zona Centro",46,"No","Regular",2,2,23587,3,33,5347709,2927574,45,155.1,"Femenino"
"200",200,"Zona Centro",63,"No","Excelente",4,1,24810,4,29,4433006,3517942,78.9,159.1,"Femenino"
"201",201,"Zona Centro",37,"No","Buena",3,2,19936,1,53,2922580,1528879,76.6,162.9,"Masculino"
"202",202,"Zona Sur",49,"Sí","Buena",3,3,16286,2,34,2440655,2290514,75.2,164.9,"Femenino"
"203",203,"Zona Centro",26,"Sí","Mala",1,3,24792,1,40,3109025,1453496,63.5,150.8,"Femenino"
"204",204,"Zona Norte",19,"No","Regular",2,2,28146,0,58,3614398,2683691,76.6,159.9,"Masculino"
"205",205,"Zona Sur",9,"No","Buena",3,4,15574,4,61,2082232,1275004,73.7,161.5,"Femenino"
"206",206,"Zona Centro",54,"No","Buena",3,4,21963,1,26,5804689,3494792,75.6,174.9,"Masculino"
"207",207,"Zona Sur",12,"Sí","Excelente",4,0,15256,1,21,3330818,2364663,75,182.3,"Masculino"
"208",208,"Zona Centro",12,"No","Regular",2,1,17853,0,35,7098785,4598601,57.4,179.1,"Masculino"
"209",209,"Zona Norte",10,"Sí","Excelente",4,1,28380,0,54,6310788,3894293,69.5,163.9,"Masculino"
"210",210,"Zona Centro",34,"Sí","Regular",2,5,20846,3,40,4179912,1474645,58.4,165.5,"Masculino"
"211",211,"Zona Norte",24,"No","Buena",3,2,27081,1,56,1674500,738466,74.9,178.4,"Masculino"
"212",212,"Zona Norte",96,"No","Mala",1,1,29601,0,33,5610840,2096642,64.1,166.9,"Masculino"
"213",213,"Zona Norte",34,"No","Buena",3,2,27294,0,45,6583865,4206319,76.8,171.3,"Masculino"
"214",214,"Zona Centro",29,"Sí","Buena",3,8,20617,2,30,5645006,2737302,72.8,172.6,"Masculino"
"215",215,"Zona Centro",30,"Sí","Excelente",4,5,24369,2,51,2863606,2134023,70.6,175.8,"Masculino"
"216",216,"Zona Sur",38,"Sí","Mala",1,1,18038,3,45,5604993,3700157,66.8,169.6,"Masculino"
"217",217,"Zona Centro",15,"Sí","Regular",2,2,22471,3,33,3117586,1998954,71.1,167.3,"Femenino"
"218",218,"Zona Sur",44,"Sí","Excelente",4,5,16159,1,42,1500000,824743,73.8,168.4,"Femenino"
"219",219,"Zona Norte",8,"No","Regular",2,1,28311,2,40,6786693,4264877,60.8,171.7,"Masculino"
"220",220,"Zona Centro",9,"No","Excelente",4,8,23271,5,30,2066076,1259574,63.3,175.1,"Masculino"
"221",221,"Zona Centro",87,"No","Mala",1,1,20245,3,50,6221175,3283216,67.9,157.1,"Femenino"
"222",222,"Zona Centro",1,"Sí","Buena",3,8,25005,4,29,1500000,903262,71.9,158.8,"Femenino"
"223",223,"Zona Centro",13,"Sí","Excelente",4,1,18333,2,59,1500000,978235,75,179.8,"Masculino"
"224",224,"Zona Norte",79,"Sí","Buena",3,3,26022,0,26,6085389,2397446,56.9,158.2,"Masculino"
"225",225,"Zona Sur",106,"No","Regular",2,4,18413,0,36,1500000,1092301,71.8,166.3,"Masculino"
"226",226,"Zona Sur",40,"Sí","Regular",2,4,14460,4,26,8026857,4135884,74.7,172.3,"Masculino"
"227",227,"Zona Centro",16,"No","Regular",2,1,20858,2,33,6187631,4314242,66.3,174.9,"Masculino"
"228",228,"Zona Centro",22,"No","Mala",1,7,23199,3,36,1772019,868896,59,155.5,"Femenino"
"229",229,"Zona Centro",45,"No","Regular",2,2,25261,3,34,3617902,2060793,70.6,168,"Femenino"
"230",230,"Zona Sur",36,"No","Regular",2,4,19268,1,33,2757232,1492067,52.8,150,"Femenino"
"231",231,"Zona Norte",75,"Sí","Buena",3,1,27635,0,28,7523141,5467567,83.6,173.7,"Femenino"
"232",232,"Zona Norte",14,"Sí","Buena",3,5,26805,2,48,4280561,2620043,55.2,168.2,"Femenino"
"233",233,"Zona Centro",26,"No","Mala",1,6,20313,2,31,2789281,1282041,66.1,179.2,"Masculino"
"234",234,"Zona Norte",89,"Sí","Buena",3,3,23596,3,34,5358302,3248747,79.2,170.5,"Masculino"
"235",235,"Zona Centro",31,"Sí","Buena",3,3,18752,2,44,6351295,4113875,73,163.9,"Femenino"
"236",236,"Zona Centro",17,"Sí","Buena",3,6,23654,5,43,4388136,2004700,73.2,163.4,"Masculino"
"237",237,"Zona Centro",30,"No","Regular",2,4,22097,0,59,1500000,1042258,68.2,175.6,"Masculino"
"238",238,"Zona Centro",9,"Sí","Buena",3,5,15479,0,39,1500000,1011816,51.7,150,"Femenino"
"239",239,"Zona Sur",46,"Sí","Buena",3,5,16655,1,61,1734132,994451,52,155.3,"Femenino"
"240",240,"Zona Centro",32,"Sí","Excelente",4,3,18912,0,47,15000000,9398022,67.3,182,"Masculino"
"241",241,"Zona Sur",3,"No","Regular",2,4,15833,0,35,1500000,930430,84.3,150,"Femenino"
"242",242,"Zona Centro",21,"Sí","Regular",2,2,22030,4,27,2463906,1489889,86.9,175.2,"Masculino"
